trial_number,stim_type,tone,intensity,expectation,prob_hightone_sad,gender,block_index,response_duration,predict_response_time,predict_response,predict_result,response_response_time,response_response,response_result,reward
1,angry,low,high,1,0.9,M,1,0.8,1.0070000000000618,sad,0,0.613800000000083,angry,1.0,-2
2,sad,high,low,1,0.9,F,1,0.8,0.3931000000001177,angry,0,0.5372000000002117,sad,1.0,6
3,angry,low,high,1,0.9,M,1,0.8,0.138599999999883,angry,1,0.6204999999999927,angry,1.0,-4
4,sad,high,low,1,0.9,F,1,0.8,0.1190999999998894,sad,1,0.6401999999999362,sad,1.0,-6
5,sad,high,high,1,0.9,F,1,0.8,0.2437999999999647,sad,1,0.3532999999999902,sad,1.0,29
6,angry,low,low,1,0.9,M,1,0.8,0.3474000000001069,angry,1,0.3725000000000591,angry,1.0,27
7,sad,high,high,1,0.9,M,1,0.8,0.4073000000000775,sad,1,0.6664999999999281,angry,0.0,-50
8,angry,low,low,1,0.9,F,1,0.8,0.880800000000022,angry,1,0.7442000000002054,angry,1.0,-19
9,sad,high,high,1,0.9,F,1,0.8,0.3363999999999123,sad,1,0.403699999999958,sad,1.0,24
10,sad,high,low,1,0.9,F,1,0.8,0.3209999999999127,sad,1,0.1394999999999981,sad,1.0,57
11,angry,low,low,1,0.9,M,1,0.8,2.2148999999999432,angry,1,0.4050999999998339,angry,1.0,23
12,angry,low,high,1,0.9,M,1,0.8,0.4318000000000666,angry,1,0.2412000000000489,angry,1.0,44
13,angry,low,low,1,0.9,M,1,0.8,0.5968000000002576,angry,1,0.3696000000001049,angry,1.0,29
14,sad,high,high,1,0.9,F,1,0.8,0.6176999999997861,sad,1,0.2319999999999709,sad,1.0,46
15,sad,low,low,0,0.9,M,1,0.8,0.3846000000000913,angry,0,0.1356000000001813,angry,0.0,-50
16,angry,low,high,1,0.9,M,1,0.8,0.6477000000002135,sad,0,0.4604999999999108,sad,0.0,-50
17,angry,low,high,1,0.9,M,1,0.8,0.4040999999996302,angry,1,0.2458999999998923,angry,1.0,44
18,sad,high,low,1,0.9,F,1,0.8,0.4036000000000967,sad,1,0.2195000000000391,sad,1.0,46
19,angry,high,low,0,0.9,F,1,0.8,0.4457000000002153,sad,0,0.5140999999996438,sad,0.0,-50
20,sad,high,high,1,0.9,M,1,0.8,0.5371000000001231,sad,1,0.2872000000002117,sad,1.0,38
