trial_number,stim_type,tone,intensity,expectation,prob_hightone_sad,gender,block_index,response_duration,predict_response_time,predict_response,predict_result,response_response_time,response_response,response_result,reward
1,angry,low,high,1,0.9,M,1,0.8,0.7740999999977589,sad,0,0.4956999999992604,sad,0.0,-50
2,sad,high,low,1,0.9,F,1,0.8,0.7998000000007437,sad,1,0.6535000000000082,sad,1.0,-7
3,angry,low,high,1,0.9,M,1,0.8,0.4040999999977543,sad,0,0.6508999999985008,sad,0.0,-50
4,sad,high,low,1,0.9,F,1,0.8,0.5717999999969834,sad,1,0.5919000000022265,sad,1.0,1
5,sad,high,high,1,0.9,F,1,0.8,0.195699999999249,sad,1,0.3711999999992486,sad,1.0,28
6,angry,low,low,1,0.9,M,1,0.8,0.1238000000007559,angry,1,0.4343000000007464,angry,1.0,21
7,sad,high,high,1,0.9,M,1,0.8,0.902400000002217,sad,1,0.3851000000015006,sad,1.0,27
8,angry,low,low,1,0.9,F,1,0.8,0.1211999999993054,angry,1,0.2380999999977575,angry,1.0,45
9,sad,high,high,1,0.9,F,1,0.8,0.1445000000000504,sad,1,,,,-200
10,sad,high,low,1,0.9,F,1,0.8,0.2009999999999649,sad,1,0.5154999999999745,sad,1.0,10
11,angry,low,low,1,0.9,M,1,0.8,0.1614000000022315,angry,1,0.2876999999992904,angry,1.0,39
12,angry,low,high,1,0.9,M,1,0.8,0.125,angry,1,0.2048999999985312,angry,1.0,49
13,angry,low,low,1,0.9,M,1,0.8,0.1706000000014569,angry,1,0.2681000000015388,angry,1.0,41
14,sad,high,high,1,0.9,F,1,0.8,0.1924999999999954,sad,1,0.285799999996982,sad,1.0,39
15,sad,low,low,0,0.9,M,1,0.8,1.4511000000014749,sad,1,0.1680000000000063,sad,1.0,54
16,angry,low,high,1,0.9,M,1,0.8,0.1238000000007559,sad,0,0.2371999999993477,sad,0.0,-50
17,angry,low,high,1,0.9,M,1,0.8,0.3034999999999854,angry,1,0.4648999999984653,angry,1.0,17
18,sad,high,low,1,0.9,F,1,0.8,0.5080000000000382,sad,1,0.583400000002257,sad,1.0,2
19,angry,high,low,0,0.9,F,1,0.8,0.2100999999977375,sad,0,0.5178000000007614,sad,0.0,-50
20,sad,high,high,1,0.9,M,1,0.8,0.6190000000000282,angry,0,0.4890000000000327,angry,0.0,-50
21,angry,low,high,1,0.9,M,1,0.8,0.2424000000022488,sad,0,0.4356999999993149,angry,1.0,20
22,sad,high,low,1,0.9,F,1,0.8,0.1384000000022069,angry,0,0.5359999999999445,angry,0.0,-50
23,angry,high,high,0,0.9,M,1,0.8,0.5363999999984799,sad,0,0.7173999999985199,angry,1.0,-15
24,sad,high,low,1,0.9,F,1,0.8,0.6393000000007305,sad,1,0.5058000000007041,sad,1.0,12
25,angry,low,high,1,0.9,F,1,0.8,0.3299000000022261,angry,1,0.1501999999992449,angry,1.0,56
26,sad,high,low,1,0.9,M,1,0.8,0.202699999999254,sad,1,0.5178000000007614,sad,1.0,10
27,angry,low,high,1,0.9,F,1,0.8,0.3893000000007305,angry,1,0.4691999999992049,angry,1.0,16
28,angry,low,high,1,0.9,M,1,0.8,1.4735000000000582,angry,1,0.2808999999984962,angry,1.0,40
29,sad,high,high,1,0.9,F,1,0.8,0.5689000000022588,angry,0,0.4854000000021869,sad,1.0,14
30,angry,low,low,1,0.9,M,1,0.8,0.2191999999992049,angry,1,0.5004999999999882,angry,1.0,12
31,sad,low,low,0,0.1,M,2,0.8,0.2768999999984771,angry,0,0.6522999999970125,sad,1.0,-7
32,sad,low,high,0,0.1,F,2,0.8,0.0926999999992403,sad,1,0.4200000000000727,sad,1.0,22
33,angry,high,low,0,0.1,M,2,0.8,0.3212999999969952,angry,1,0.3171999999992749,angry,1.0,35
34,sad,low,high,0,0.1,M,2,0.8,0.4021999999991976,sad,1,0.4996999999992795,sad,1.0,12
35,angry,high,low,0,0.1,F,2,0.8,0.3414000000021815,angry,1,0.6005000000000109,sad,0.0,-50
