trial_number,stim_type,tone,intensity,expectation,prob_hightone_sad,gender,block_index,response_duration,predict_response_time,predict_response,predict_result,response_response_time,response_response,response_result,reward
1,angry,low,high,1,0.9,M,1,0.8,0.4250000000000113,sad,0,,,,-200
2,sad,high,low,1,0.9,F,1,0.8,0.3089999999999691,sad,1,0.7050000000000409,sad,1.0,-14
3,angry,low,high,1,0.9,M,1,0.8,0.1630000000000109,angry,1,0.2579999999999813,angry,1.0,43
4,sad,high,low,1,0.9,F,1,0.8,0.4189999999999827,sad,1,0.3799999999999954,sad,1.0,27
5,sad,high,high,1,0.9,F,1,0.8,0.4210000000000491,sad,1,0.1359999999999672,sad,1.0,58
6,angry,low,low,1,0.9,M,1,0.8,0.3090000000000259,angry,1,0.2909999999999968,angry,1.0,39
7,sad,high,high,1,0.9,M,1,0.8,0.2760000000000104,angry,0,0.2629999999999768,angry,0.0,-50
8,angry,low,low,1,0.9,F,1,0.8,0.2409999999999854,sad,0,0.4389999999999645,sad,0.0,-50
9,sad,high,high,1,0.9,F,1,0.8,0.1139999999999759,sad,1,0.2599999999999909,sad,1.0,42
10,sad,high,low,1,0.9,F,1,0.8,0.1139999999999759,sad,1,0.2130000000000222,sad,1.0,48
11,angry,low,low,1,0.9,M,1,0.8,0.2839999999999918,angry,1,0.0889999999999986,angry,1.0,64
12,angry,low,high,1,0.9,M,1,0.8,0.2270000000000323,angry,1,0.2799999999999727,angry,1.0,40
13,angry,low,low,1,0.9,M,1,0.8,0.2270000000000323,angry,1,0.3860000000000241,angry,1.0,26
14,sad,high,high,1,0.9,F,1,0.8,0.2690000000000054,sad,1,0.3239999999999554,sad,1.0,34
15,sad,low,low,0,0.9,M,1,0.8,0.141999999999939,sad,1,0.1910000000000309,sad,1.0,51
16,angry,low,high,1,0.9,M,1,0.8,0.2680000000000291,sad,0,0.3150000000000545,sad,0.0,-50
17,angry,low,high,1,0.9,M,1,0.8,0.29099999999994,sad,0,0.1849999999999454,sad,0.0,-50
18,sad,high,low,1,0.9,F,1,0.8,0.2999999999999545,sad,1,0.2439999999999145,sad,1.0,44
19,angry,high,low,0,0.9,F,1,0.8,0.2799999999999727,sad,0,0.3530000000000655,sad,0.0,-50
20,sad,high,high,1,0.9,M,1,0.8,0.280999999999949,angry,0,0.2649999999999863,angry,0.0,-50
21,angry,low,high,1,0.9,M,1,0.8,0.0470000000000254,sad,0,0.3970000000000482,sad,0.0,-50
22,sad,high,low,1,0.9,F,1,0.8,0.34699999999998,angry,0,0.2199999999999136,angry,0.0,-50
23,angry,high,high,0,0.9,M,1,0.8,0.5810000000000173,angry,1,0.3229999999999791,sad,0.0,-50
24,sad,high,low,1,0.9,F,1,0.8,0.3870000000000573,sad,1,0.2060000000000172,sad,1.0,49
25,angry,low,high,1,0.9,F,1,0.8,0.2590000000000145,angry,1,0.1309999999999718,angry,1.0,59
26,sad,high,low,1,0.9,M,1,0.8,0.0829999999999699,sad,1,0.1329999999999245,sad,1.0,58
27,angry,low,high,1,0.9,F,1,0.8,0.0929999999999608,sad,0,0.5460000000000491,sad,0.0,-50
28,angry,low,high,1,0.9,M,1,0.8,0.1779999999999972,angry,1,0.38900000000001,angry,1.0,26
