trial_number,stim_type,tone,intensity,expectation,prob_hightone_sad,gender,block_index,response_duration,predict_response_time,predict_response,predict_result,response_response_time,response_response,response_result,reward
1,sad,high,low,1,0.8,F,1,0.8,0.7358000000007223,sad,1,0.589300000000776,sad,1,0
2,angry,low,high,1,0.8,F,1,0.8,0.4178000000007387,angry,1,0.4883999999985349,angry,1,13
3,sad,high,low,1,0.8,M,1,0.8,0.3683000000007723,sad,1,0.2351000000014664,sad,1,44
4,sad,high,high,1,0.8,M,1,0.8,0.369100000001481,sad,1,0.2198999999985176,sad,1,46
5,angry,low,high,1,0.8,F,1,0.8,0.023300000000745,angry,1,0.2828000000007478,angry,1,40
6,sad,high,low,1,0.8,M,1,0.8,0.3695000000000163,sad,1,0.3146999999992772,sad,1,35
7,angry,low,low,1,0.8,F,1,0.8,0.2677999999970097,angry,1,0.2820000000000391,angry,1,40
8,sad,high,low,1,0.8,M,1,0.8,0.9038999999984868,sad,1,0.0978000000007455,sad,1,63
9,angry,low,high,1,0.8,M,1,0.8,0.3678000000007273,angry,1,0.2051999999992517,angry,1,48
10,angry,low,low,1,0.8,F,1,0.8,0.3851000000014437,angry,1,0.0667999999969879,angry,1,66
11,sad,high,low,1,0.8,M,1,0.8,0.251199999999244,sad,1,0.090400000002262,sad,1,63
12,angry,high,high,0,0.8,F,1,0.8,0.3257999999970025,sad,0,0.0582000000029552,sad,0,-50
13,sad,high,high,1,0.8,F,1,0.8,0.3211000000014792,angry,0,0.0645000000000095,angry,0,-50
14,angry,low,low,1,0.8,M,1,0.8,1.6008000000007314,angry,1,0.239499999999964,angry,1,44
15,sad,low,low,0,0.8,F,1,0.8,0.2846999999992476,angry,0,0.0711999999992372,angry,0,-50
16,sad,high,high,1,0.8,M,1,0.0,0.790899999998544,angry,0,0.4562999999970429,angry,0,-50
17,angry,low,low,1,0.8,F,1,0.8,1.2214999999999918,angry,1,0.3205999999977962,angry,1,33
18,sad,low,high,0,0.8,M,1,0.8,0.2025999999976875,angry,0,0.1196000000014692,angry,0,-50
19,angry,low,low,1,0.8,M,1,0.8,0.3875999999978603,sad,0,0.0556999999992058,sad,0,-50
20,sad,high,high,1,0.8,F,1,0.8,0.5866000000015674,angry,0,0.4995000000000118,angry,0,-50
21,angry,low,low,1,0.8,F,1,0.8,2.10160000000144,angry,1,0.287300000000755,angry,1,38
22,sad,low,high,0,0.8,F,1,0.8,0.0836999999993395,angry,0,0.2535000000000309,angry,0,-50
23,angry,high,low,0,0.8,M,1,0.8,0.9081999999992832,angry,1,0.4721000000014328,sad,0,-50
24,angry,low,high,1,0.8,M,1,0.8,0.7227999999970507,sad,0,0.5040999999977203,sad,0,-50
25,sad,high,high,1,0.8,F,1,0.8,1.3900999999976875,sad,1,0.4874000000022533,angry,0,-50
26,angry,low,low,1,0.8,F,1,0.8,1.2690000000000057,angry,1,0.2958000000007814,angry,1,38
27,sad,high,high,1,0.8,M,1,0.8,0.2916999999993095,sad,1,0.3366999999992686,sad,1,31
28,sad,high,low,1,0.8,F,1,0.8,0.369099999997843,sad,1,0.4528999999985217,sad,1,17
29,angry,low,low,1,0.8,M,1,0.8,0.2996000000014192,angry,1,0.2368999999985135,angry,1,44
30,angry,high,high,0,0.8,M,1,0.8,0.3320999999978085,sad,0,0.1318999999984953,sad,0,-50
31,angry,low,low,1,0.8,F,1,0.8,0.271699999999214,sad,0,0.3053999999984853,sad,0,-50
32,sad,high,high,1,0.8,F,1,0.8,0.3204000000022233,sad,1,0.4238000000008242,sad,1,21
33,sad,high,low,1,0.8,M,1,0.8,0.3356000000014774,sad,1,0.0048000000007277,sad,1,73
34,angry,low,high,1,0.8,M,1,0.8,0.2232999999970388,angry,1,0.0046000000014601,angry,1,73
35,sad,high,low,1,0.8,M,1,0.8,0.3350000000000364,sad,1,0.0819999999999936,sad,1,65
36,angry,low,high,1,0.8,F,1,0.8,0.2882999999970934,angry,1,0.1866000000014764,angry,1,50
37,sad,low,low,0,0.8,F,1,0.8,0.0428000000007386,angry,0,0.0058999999985189,angry,0,-50
38,angry,low,high,1,0.8,M,1,0.8,0.084800000000655,angry,1,0.3704000000022915,angry,1,27
39,sad,high,high,1,0.8,M,1,0.8,0.0312999999970315,sad,1,0.0474000000023124,sad,1,69
40,sad,high,high,1,0.8,F,1,0.8,0.030800000000795,sad,1,0.0159000000022615,sad,1,73
41,angry,high,low,0,0.8,F,1,0.8,0.1024999999999636,sad,0,0.0045000000000072,sad,0,-50
42,angry,low,low,1,0.8,M,1,0.8,0.3020000000000209,sad,0,0.0393000000007077,sad,0,-50
43,angry,low,high,1,0.8,M,1,0.8,0.0861999999992804,angry,1,0.0045999999977084,angry,1,73
44,sad,high,low,1,0.8,F,1,0.8,0.3709999999999809,sad,1,0.0985000000000582,sad,1,63
45,angry,high,low,0,0.8,M,1,0.8,0.0170000000000527,sad,0,0.0731999999992467,sad,0,-50
46,angry,low,low,1,0.8,F,1,0.8,0.3738000000007559,sad,0,0.1316000000015265,sad,0,-50
47,sad,high,high,1,0.8,M,1,0.8,0.050700000002962,sad,1,0.1650000000000773,sad,1,54
48,sad,high,low,1,0.8,M,1,0.8,0.1381000000014864,sad,1,0.0047999999969761,sad,1,73
